site_id,year,first_snow_melt,cont_snow_acc,last_snow_melt,first_snow_acc,max_swe,max_swe_doy,network,state,site_name,description,start,end,latitude,longitude,elev,county,aspect,slope,hillshade,canopy_height,modis_snow_melt,modis_snow_acc,LC
301,2003,141,306,141,306,221,18,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,NA,305,10
301,2008,131,324,144,303,368,66,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,119,344,10
301,2006,135,306,135,306,460,108,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,128,322,10
301,2007,100,314,116,289,236,61,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,94,318,10
301,2011,141,309,151,277,478,88,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,133,306,10
301,2009,130,310,130,310,340,71,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,111,314,10
301,2005,125,306,125,276,292,94,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,123,327,10
301,2012,120,313,120,296,213,105,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,3,345,10
301,2013,95,338,99,301,224,69,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,88,362,10
301,2004,119,296,119,292,444,62,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,96,329,10
301,2015,43,306,116,306,64,8,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,20,302,10
301,2010,139,313,139,295,368,96,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,134,320,10
301,2014,31,345,119,298,20,14,SNTL,CA,adin mtn ,Cottonwood Creek (180200021403),1984-09-01,2100-01-01,41.24,-120.79,6190,Modoc,148.324523925781,0.427133411169052,182,15,1,328,10
302,2014,184,305,184,305,668,119,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,157,293,1
302,2006,173,314,173,262,889,114,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,137,287,1
302,2007,180,314,180,271,475,114,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,136,309,1
302,2005,172,294,172,266,518,114,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,148,298,1
302,2011,194,308,194,278,721,131,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,182,306,1
302,2012,181,313,181,296,640,110,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,136,292,1
302,2008,190,308,190,285,757,124,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,171,301,1
302,2015,154,309,154,309,381,99,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,156,296,1
302,2003,169,315,209,315,709,133,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,NA,299,1
302,2010,188,293,188,239,630,133,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,177,294,1
302,2013,179,267,179,267,617,114,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,159,263,1
302,2004,178,291,178,257,597,121,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,155,288,1
302,2009,179,275,179,275,650,135,SNTL,OR,aneroid lake #2 ,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2100-01-01,45.21,-117.19,7400,Wallowa,288.684295654297,10.012752532959,168,21,174,271,1
303,2004,90,315,125,287,206,66,SNTL,CO,apishapa ,Middle Creek-Cucharas River (110200060406),1980-06-01,2100-01-01,37.33,-105.07,10000,Huerfano,290.108703613281,3.01173973083496,177,22,80,305,10
